exp,phi_0,dV_ges,eps_0,V_dis_total,Vol_imbalance [%],status
ye,0.00026,160,0.2,0.001254498921049417,3.811648262644352e-15,success
ye,0.000281,160,0.2,0.0012487988273955997,3.811648262644352e-15,success
ye,0.000307,160,0.2,0.0012369438106085747,3.811648262644352e-15,success
ye,0.00037,160,0.2,0.0012023654877516604,3.811648262644352e-15,success
ye,0.000431,160,0.2,0.0011883707991936084,3.811648262644352e-15,success
ye,0.000532,160,0.2,0.0011463370061982042,3.811648262644352e-15,success
ye,0.0006889999999999999,160,0.2,0.0010962026481481585,3.811648262644352e-15,success
ye,0.001281,160,0.2,0.0009636278386145975,3.811648262644352e-15,success
ye,0.000252,200,0.2,0.0015742069958511317,1.2197274440461926e-14,success
ye,0.000283,200,0.2,0.0015646266370450078,1.2197274440461926e-14,success
ye,0.000325,200,0.2,0.0015392503750444122,1.2197274440461926e-14,success
ye,0.000383,200,0.2,0.001508030004264759,1.2197274440461926e-14,success
ye,0.000464,200,0.2,0.0014648177859166848,1.2197274440461926e-14,success
ye,0.000584,200,0.2,0.0014101291210695285,1.5246593050577406e-14,success
ye,0.000788,200,0.2,0.001336036872947861,1.2197274440461926e-14,success
ye,0.001095,200,0.2,0.0012415879167179552,1.2197274440461926e-14,success
ye,0.0015,200,0.2,0.0011353800234264217,1.5246593050577406e-14,success
ye,0.000271,240,0.2,0.0018945862321942252,7.623296525288703e-15,success
ye,0.000298,240,0.2,0.001876257848070916,7.623296525288703e-15,success
ye,0.000343,240,0.2,0.0018438145924936176,7.623296525288703e-15,success
ye,0.000404,240,0.2,0.0018057788450530974,2.541098841762901e-15,success
ye,0.000503,240,0.2,0.0017490214646240531,7.623296525288703e-15,success
ye,0.00061,240,0.2,0.0016948030905479577,5.082197683525802e-15,success
ye,0.0008039999999999999,240,0.2,0.0015959933829490312,2.541098841762901e-15,success
ye,0.001092,240,0.2,0.0014967989579737432,1.5246593050577406e-14,success
ye,0.001416,240,0.2,0.001396357316075074,7.623296525288703e-15,success
ye,0.000254,280,0.2,0.0022274901972573428,8.712338886044233e-15,success
ye,0.000294,280,0.2,0.002178207474000021,8.712338886044233e-15,success
ye,0.000337,280,0.2,0.002146690160457387,8.712338886044233e-15,success
ye,0.000402,280,0.2,0.0020973619586556968,8.712338886044233e-15,success
ye,0.000497,280,0.2,0.0020431176896203874,8.712338886044233e-15,success
ye,0.000617,280,0.2,0.0019640008683477843,8.712338886044233e-15,success
ye,0.0008,280,0.2,0.0018545680348056365,8.712338886044233e-15,success
ye,0.001099,280,0.2,0.0017353371227723474,8.712338886044233e-15,success
ye,0.001278,280,0.2,0.001658201912356398,8.712338886044233e-15,success
niba1,0.0007,2050,0.3,0.0030861797468028176,9.519823953531259e-15,success
niba1,0.000905,2350,0.5,0.0031788283875918114,0.0,success
niba2,0.0006325,1600,0.3,0.0033909466321761193,6.098637220230963e-15,success
niba2,0.0006075,1500,0.3,0.0031879456290588937,6.505213034913028e-15,success
niba2,0.000738,1450,0.5,0.0029761409676531507,0.0,success
niba2,0.000865,1850,0.5,0.0036063875022643637,0.0,success
niba3,0.0006275,1600,0.3,0.0038228022166970493,6.098637220230963e-15,success
niba3,0.000585,1450,0.3,0.0035364520304649654,6.729530725772096e-15,success
niba3,0.0007075,1400,0.5,0.003295889131878901,0.0,success
niba3,0.000635,1150,0.5,0.0028176225821386477,0.0,success
niba4,0.0006675,1600,0.3,0.0032746707949277854,6.098637220230963e-15,success
niba4,0.0006303,1500,0.3,0.0031886475586554437,6.505213034913028e-15,success
niba4,0.0007225,1350,0.5,0.0027426242927280726,0.0,success
niba4,0.0006725,1200,0.5,0.0025010592623728833,0.0,success
