experiment,alpha,total_guess,total_exp,total_guess_p
15mmol_30C,0.5,6,14,0.42857142857142855
15mmol_30C,0.6,6,14,0.42857142857142855
15mmol_30C,0.7,6,14,0.42857142857142855
15mmol_30C,0.8,6,14,0.42857142857142855
15mmol_30C,0.9,6,14,0.42857142857142855
15mmol_30C,1.0,6,14,0.42857142857142855
15mmol_30C,1.1,6,14,0.42857142857142855
15mmol_30C,1.2000000000000002,6,14,0.42857142857142855
15mmol_30C,1.3,6,14,0.42857142857142855
15mmol_30C,1.4,6,14,0.42857142857142855
15mmol_30C,1.5,6,14,0.42857142857142855
15mmol_30C,1.6,6,14,0.42857142857142855
15mmol_30C,1.7000000000000002,6,14,0.42857142857142855
15mmol_30C,1.8,6,14,0.42857142857142855
15mmol_30C,1.9000000000000001,6,14,0.42857142857142855
15mmol_30C,2.0,6,14,0.42857142857142855
15mmol_30C,2.1,6,14,0.42857142857142855
15mmol_30C,2.2,6,14,0.42857142857142855
15mmol_30C,2.3,7,14,0.5
15mmol_30C,2.4000000000000004,7,14,0.5
15mmol_30C,2.5,7,14,0.5
15mmol_30C,2.6,5,14,0.35714285714285715
15mmol_30C,2.7,5,14,0.35714285714285715
15mmol_30C,2.8000000000000003,5,14,0.35714285714285715
15mmol_30C,2.9000000000000004,6,14,0.42857142857142855
15mmol_30C,3.0,7,14,0.5
15mmol_30C,3.1,7,14,0.5
15mmol_30C,3.2,8,14,0.5714285714285714
15mmol_30C,3.3000000000000003,9,14,0.6428571428571429
15mmol_30C,3.4000000000000004,8,14,0.5714285714285714
15mmol_30C,3.5,7,14,0.5
15mmol_30C,3.6,6,14,0.42857142857142855
15mmol_30C,3.7,6,14,0.42857142857142855
15mmol_30C,3.8000000000000003,6,14,0.42857142857142855
15mmol_30C,3.9000000000000004,6,14,0.42857142857142855
15mmol_30C,4.0,7,14,0.5
15mmol_30C,4.1,7,14,0.5
15mmol_30C,4.2,8,14,0.5714285714285714
15mmol_30C,4.300000000000001,8,14,0.5714285714285714
15mmol_30C,4.4,8,14,0.5714285714285714
15mmol_30C,4.5,8,14,0.5714285714285714
15mmol_30C,4.6000000000000005,8,14,0.5714285714285714
15mmol_30C,4.7,8,14,0.5714285714285714
15mmol_30C,4.8,8,14,0.5714285714285714
15mmol_30C,4.9,8,14,0.5714285714285714
15mmol_30C,5.0,8,14,0.5714285714285714
