experiment,alpha,total_mape,total_exp
ye,0.5,43,9
ye,0.6,38,9
ye,0.7,33,9
ye,0.8,30,9
ye,0.9,27,9
ye,1.0,21,9
ye,1.1,28,9
ye,1.2000000000000002,29,9
ye,1.3,27,9
ye,1.4,28,9
ye,1.5,28,9
ye,1.6,28,9
ye,1.7000000000000002,29,9
ye,1.8,28,9
ye,1.9000000000000001,29,9
ye,2.0,28,9
ye,2.1,28,9
ye,2.2,29,9
ye,2.3,29,9
ye,2.4000000000000004,29,9
ye,2.5,28,9
ye,2.6,29,9
ye,2.7,28,9
ye,2.8000000000000003,29,9
ye,2.9000000000000004,29,9
ye,3.0,29,9
ye,3.1,29,9
ye,3.2,29,9
ye,3.3000000000000003,29,9
ye,3.4000000000000004,29,9
ye,3.5,29,9
ye,3.6,29,9
ye,3.7,29,9
ye,3.8000000000000003,29,9
ye,3.9000000000000004,29,9
ye,4.0,29,9
ye,4.1,29,9
ye,4.2,29,9
ye,4.300000000000001,29,9
ye,4.4,29,9
ye,4.5,29,9
ye,4.6000000000000005,29,9
ye,4.7,29,9
ye,4.8,29,9
ye,4.9,29,9
ye,5.0,29,9
